route_type,adep,ades,origin_iata,origin_city,destination_iata,destination_city,destination_country,total_observed_flights,months_active,known_airline_flights,max_monthly_flights,destination_city_clean,origin_city_clean
International,EDDF,EGCC,FRA,Frankfurt am Main,MAN,"Manchester, Greater Manchester",United Kingdom,1214,12,1124,117,"Manchester, Greater Manchester",Frankfurt am Main
International,EDDF,LROP,FRA,Frankfurt am Main,OTP,Otopeni,Romania,1214,12,1130,144,Otopeni,Frankfurt am Main
International,EDDF,EKBI,FRA,Frankfurt am Main,BLL,Billund,Denmark,1200,12,1085,124,Billund,Frankfurt am Main
International,EDDF,LYBE,FRA,Frankfurt am Main,BEG,Belgrade,Serbia,1198,12,1095,127,Belgrade,Frankfurt am Main
International,EDDF,LFSB,FRA,Frankfurt am Main,BSL,Bâle / Mulhouse,France,1197,12,763,144,Bâle / Mulhouse,Frankfurt am Main
International,EDDF,LIPE,FRA,Frankfurt am Main,BLQ,Bologna,Italy,1181,12,937,120,Bologna,Frankfurt am Main
International,EDDF,LFLL,FRA,Frankfurt am Main,LYS,"Colombier-Saugnieu, Rhône",France,1179,12,1099,114,"Colombier-Saugnieu, Rhône",Frankfurt am Main
International,EDDF,LFMN,FRA,Frankfurt am Main,NCE,"Nice, Alpes-Maritimes",France,1118,12,1038,130,"Nice, Alpes-Maritimes",Frankfurt am Main
International,EDDF,EGBB,FRA,Frankfurt am Main,BHX,"Birmingham, West Midlands",United Kingdom,1112,12,953,133,"Birmingham, West Midlands",Frankfurt am Main
International,EDDF,EGLC,FRA,Frankfurt am Main,LCY,London,United Kingdom,1027,12,552,138,London,Frankfurt am Main
International,EDDF,LPPR,FRA,Frankfurt am Main,OPO,Porto,Portugal,983,12,860,105,Porto,Frankfurt am Main
International,EDDF,LOWG,FRA,Frankfurt am Main,GRZ,Feldkirchen bei Graz,Austria,979,12,534,104,Feldkirchen bei Graz,Frankfurt am Main
International,EDDF,LTAI,FRA,Frankfurt am Main,AYT,Antalya,Türkiye,961,12,516,197,Antalya,Frankfurt am Main
International,EDDF,EPPO,FRA,Frankfurt am Main,POZ,Poznań,Poland,918,12,912,93,Poznań,Frankfurt am Main
International,EDDF,LTFJ,FRA,Frankfurt am Main,SAW,"Pendik, Istanbul",Türkiye,908,11,370,136,"Pendik, Istanbul",Frankfurt am Main
International,EDDF,LLBG,FRA,Frankfurt am Main,TLV,Tel Aviv,Israel,906,12,627,140,Tel Aviv,Frankfurt am Main
International,EDDF,EPWR,FRA,Frankfurt am Main,WRO,Wrocław,Poland,882,11,513,105,Wrocław,Frankfurt am Main
International,EDDF,EGPH,FRA,Frankfurt am Main,EDI,"Ingliston, Edinburgh",United Kingdom,856,12,817,93,"Ingliston, Edinburgh",Frankfurt am Main
International,EDDF,EVRA,FRA,Frankfurt am Main,RIX,Riga,Latvia,842,12,709,90,Riga,Frankfurt am Main
International,EDDF,LMML,FRA,Frankfurt am Main,MLA,Valletta,Malta,832,12,729,88,Valletta,Frankfurt am Main
International,EDDF,LFML,FRA,Frankfurt am Main,MRS,"Marignane, Bouches-du-Rhône",France,829,12,775,88,"Marignane, Bouches-du-Rhône",Frankfurt am Main
International,EDDF,EETN,FRA,Frankfurt am Main,TLL,Tallinn,Estonia,822,12,780,84,Tallinn,Frankfurt am Main
International,EDDF,LIMF,FRA,Frankfurt am Main,TRN,Caselle Torinese (TO),Italy,784,12,472,78,Caselle Torinese (TO),Frankfurt am Main
International,EDDF,LGTS,FRA,Frankfurt am Main,SKG,Thessaloniki,Greece,772,12,738,91,Thessaloniki,Frankfurt am Main
International,EDDF,LJLJ,FRA,Frankfurt am Main,LJU,Zgornji Brnik,Slovenia,728,12,642,82,Zgornji Brnik,Frankfurt am Main
International,EDDF,LEMG,FRA,Frankfurt am Main,AGP,Málaga,Spain,724,12,534,87,Málaga,Frankfurt am Main
International,EDDF,ENBR,FRA,Frankfurt am Main,BGO,Bergen,Norway,657,12,617,84,Bergen,Frankfurt am Main
International,EDDF,LEVC,FRA,Frankfurt am Main,VLC,Valencia,Spain,630,12,586,82,Valencia,Frankfurt am Main
International,EDDF,EYVI,FRA,Frankfurt am Main,VNO,Vilnius,Lithuania,627,12,612,79,Vilnius,Frankfurt am Main
International,EDDF,LIPX,FRA,Frankfurt am Main,VRN,Caselle (VR),Italy,615,12,348,60,Caselle (VR),Frankfurt am Main
International,EDDF,LBSF,FRA,Frankfurt am Main,SOF,Sofia,Bulgaria,592,11,537,113,Sofia,Frankfurt am Main
International,EDDF,LFPB,FRA,Frankfurt am Main,LBG,Paris,France,577,12,312,63,Paris,Frankfurt am Main
International,EDDF,LDZA,FRA,Frankfurt am Main,ZAG,Velika Gorica,Croatia,572,12,319,73,Velika Gorica,Frankfurt am Main
International,EDDF,EPKT,FRA,Frankfurt am Main,KTW,Katowice,Poland,552,11,316,74,Katowice,Frankfurt am Main
International,EDDF,LCLK,FRA,Frankfurt am Main,LCA,Larnaca,Cyprus,522,12,393,98,Larnaca,Frankfurt am Main
International,EDDF,LIPQ,FRA,Frankfurt am Main,TRS,Ronchi dei Legionari/Trieste,Italy,509,12,256,54,Ronchi dei Legionari/Trieste,Frankfurt am Main
International,EDDH,LSZH,HAM,Hamburg,ZRH,Zurich,Switzerland,2529,12,1964,228,Zurich,Hamburg
International,EDDH,EGLL,HAM,Hamburg,LHR,London,United Kingdom,2148,12,1795,209,London,Hamburg
International,EDDH,LOWW,HAM,Hamburg,VIE,Vienna,Austria,2131,12,1785,206,Vienna,Hamburg
International,EDDH,LEPA,HAM,Hamburg,PMI,Palma de Mallorca,Spain,1858,12,947,317,Palma de Mallorca,Hamburg
International,EDDH,EHAM,HAM,Hamburg,AMS,Amsterdam,Netherlands,1726,12,1327,162,Amsterdam,Hamburg
International,EDDH,EKCH,HAM,Hamburg,CPH,Copenhagen,Denmark,1495,12,288,146,Copenhagen,Hamburg
International,EDDH,LFPG,HAM,Hamburg,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,1389,12,844,140,"Paris (Roissy-en-France, Val-d'Oise)",Hamburg
International,EDDH,LTAI,HAM,Hamburg,AYT,Antalya,Türkiye,999,12,528,179,Antalya,Hamburg
International,EDDH,LEBL,HAM,Hamburg,BCN,Barcelona,Spain,979,12,796,111,Barcelona,Hamburg
International,EDDH,EFHK,HAM,Hamburg,HEL,Helsinki (Vantaa),Finland,927,12,914,91,Helsinki (Vantaa),Hamburg
International,EDDH,LTFM,HAM,Hamburg,IST,Istanbul,Türkiye,908,11,617,137,Istanbul,Hamburg
International,EDDH,EPWA,HAM,Hamburg,WAW,Warsaw,Poland,896,12,516,87,Warsaw,Hamburg
International,EDDH,LEMD,HAM,Hamburg,MAD,Madrid,Spain,843,12,555,92,Madrid,Hamburg
International,EDDH,LTFJ,HAM,Hamburg,SAW,"Pendik, Istanbul",Türkiye,738,11,342,106,"Pendik, Istanbul",Hamburg
International,EDDH,LIRF,HAM,Hamburg,FCO,Rome,Italy,711,12,431,80,Rome,Hamburg
International,EDDH,LIMC,HAM,Hamburg,MXP,Ferno (VA),Italy,677,12,360,69,Ferno (VA),Hamburg
International,EDDH,ESSA,HAM,Hamburg,ARN,Stockholm,Sweden,638,12,377,73,Stockholm,Hamburg
International,EDDH,EBBR,HAM,Hamburg,BRU,Zaventem,Belgium,603,12,573,57,Brussels,Hamburg
International,EDDH,EIDW,HAM,Hamburg,DUB,Dublin,Ireland,594,12,480,59,Dublin,Hamburg
International,EDDH,LPPT,HAM,Hamburg,LIS,Lisbon,Portugal,578,12,412,79,Lisbon,Hamburg
International,EDDL,LEPA,DUS,Düsseldorf,PMI,Palma de Mallorca,Spain,2864,12,1766,531,Palma de Mallorca,Düsseldorf
International,EDDL,EGLL,DUS,Düsseldorf,LHR,London,United Kingdom,2732,12,2072,286,London,Düsseldorf
International,EDDL,LOWW,DUS,Düsseldorf,VIE,Vienna,Austria,2195,12,1873,210,Vienna,Düsseldorf
International,EDDL,LTAI,DUS,Düsseldorf,AYT,Antalya,Türkiye,2185,12,1245,396,Antalya,Düsseldorf
International,EDDL,LSZH,DUS,Düsseldorf,ZRH,Zurich,Switzerland,2129,12,1585,202,Zurich,Düsseldorf
International,EDDL,EHAM,DUS,Düsseldorf,AMS,Amsterdam,Netherlands,1716,12,1217,158,Amsterdam,Düsseldorf
International,EDDL,LTFJ,DUS,Düsseldorf,SAW,"Pendik, Istanbul",Türkiye,1449,11,578,212,"Pendik, Istanbul",Düsseldorf
International,EDDL,EKCH,DUS,Düsseldorf,CPH,Copenhagen,Denmark,1396,12,763,143,Copenhagen,Düsseldorf
International,EDDL,LEBL,DUS,Düsseldorf,BCN,Barcelona,Spain,1358,12,1142,153,Barcelona,Düsseldorf
International,EDDL,LEMD,DUS,Düsseldorf,MAD,Madrid,Spain,1219,12,1011,120,Madrid,Düsseldorf
International,EDDL,EPWA,DUS,Düsseldorf,WAW,Warsaw,Poland,1119,12,546,109,Warsaw,Düsseldorf
International,EDDL,LIMC,DUS,Düsseldorf,MXP,Ferno (VA),Italy,1048,12,663,125,Ferno (VA),Düsseldorf
International,EDDL,LFPG,DUS,Düsseldorf,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,1018,12,660,117,"Paris (Roissy-en-France, Val-d'Oise)",Düsseldorf
International,EDDL,LTFM,DUS,Düsseldorf,IST,Istanbul,Türkiye,941,11,709,142,Istanbul,Düsseldorf
International,EDDL,LGAV,DUS,Düsseldorf,ATH,Spata-Artemida,Greece,831,12,442,84,Spata-Artemida,Düsseldorf
International,EDDL,EFHK,DUS,Düsseldorf,HEL,Helsinki (Vantaa),Finland,795,12,769,81,Helsinki (Vantaa),Düsseldorf
International,EDDL,EIDW,DUS,Düsseldorf,DUB,Dublin,Ireland,763,12,693,79,Dublin,Düsseldorf
International,EDDL,LGTS,DUS,Düsseldorf,SKG,Thessaloniki,Greece,727,12,474,94,Thessaloniki,Düsseldorf
International,EDDL,EGCC,DUS,Düsseldorf,MAN,"Manchester, Greater Manchester",United Kingdom,665,12,596,69,"Manchester, Greater Manchester",Düsseldorf
International,EDDL,LFPB,DUS,Düsseldorf,LBG,Paris,France,648,12,390,90,Paris,Düsseldorf
International,EDDL,LPPT,DUS,Düsseldorf,LIS,Lisbon,Portugal,647,12,486,87,Lisbon,Düsseldorf
International,EDDL,ESSA,DUS,Düsseldorf,ARN,Stockholm,Sweden,626,12,385,77,Stockholm,Düsseldorf
International,EDDL,LEMG,DUS,Düsseldorf,AGP,Málaga,Spain,596,12,567,71,Málaga,Düsseldorf
International,EDDL,LKPR,DUS,Düsseldorf,PRG,Prague,Czechia,585,12,308,66,Prague,Düsseldorf
International,EDDL,EGBB,DUS,Düsseldorf,BHX,"Birmingham, West Midlands",United Kingdom,581,12,505,59,"Birmingham, West Midlands",Düsseldorf
International,EDDL,LIML,DUS,Düsseldorf,LIN,Segrate (MI),Italy,559,12,432,57,Segrate (MI),Düsseldorf
International,EDDL,LOWS,DUS,Düsseldorf,SZG,Salzburg,Austria,558,12,291,61,Salzburg,Düsseldorf
International,EDDL,LIRF,DUS,Düsseldorf,FCO,Rome,Italy,518,12,437,64,Rome,Düsseldorf
International,EDDL,LGRP,DUS,Düsseldorf,RHO,Rhodes,Greece,501,11,350,80,Rhodes,Düsseldorf
International,EDDM,EGLL,MUC,Munich,LHR,London,United Kingdom,4429,12,3593,430,London,Munich
International,EDDM,EHAM,MUC,Munich,AMS,Amsterdam,Netherlands,3563,12,3078,331,Amsterdam,Munich
International,EDDM,LFPG,MUC,Munich,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,3015,12,1913,299,"Paris (Roissy-en-France, Val-d'Oise)",Munich
International,EDDM,LEMD,MUC,Munich,MAD,Madrid,Spain,2902,12,1997,274,Madrid,Munich
International,EDDM,LEBL,MUC,Munich,BCN,Barcelona,Spain,2547,12,1943,243,Barcelona,Munich
International,EDDM,LIRF,MUC,Munich,FCO,Rome,Italy,2493,12,1602,254,Rome,Munich
International,EDDM,LGAV,MUC,Munich,ATH,Spata-Artemida,Greece,2362,12,1564,244,Spata-Artemida,Munich
International,EDDM,EKCH,MUC,Munich,CPH,Copenhagen,Denmark,2325,12,1601,241,Copenhagen,Munich
International,EDDM,LSZH,MUC,Munich,ZRH,Zurich,Switzerland,2171,12,1501,197,Zurich,Munich
International,EDDM,EBBR,MUC,Munich,BRU,Zaventem,Belgium,2169,12,1910,210,Brussels,Munich
International,EDDM,EPWA,MUC,Munich,WAW,Warsaw,Poland,2030,12,1303,202,Warsaw,Munich
International,EDDM,LOWW,MUC,Munich,VIE,Vienna,Austria,1809,12,1500,169,Vienna,Munich
International,EDDM,LEPA,MUC,Munich,PMI,Palma de Mallorca,Spain,1624,12,905,256,Palma de Mallorca,Munich
International,EDDM,LIMC,MUC,Munich,MXP,Ferno (VA),Italy,1584,12,1178,180,Ferno (VA),Munich
International,EDDM,EFHK,MUC,Munich,HEL,Helsinki (Vantaa),Finland,1466,12,1118,143,Helsinki (Vantaa),Munich
International,EDDM,ESSA,MUC,Munich,ARN,Stockholm,Sweden,1374,12,1183,143,Stockholm,Munich
International,EDDM,LHBP,MUC,Munich,BUD,Budapest,Hungary,1331,12,1189,142,Budapest,Munich
International,EDDM,LIML,MUC,Munich,LIN,Segrate (MI),Italy,1326,12,805,170,Segrate (MI),Munich
International,EDDM,LIPZ,MUC,Munich,VCE,Venezia (VE),Italy,1309,12,997,157,Venezia (VE),Munich
International,EDDM,EIDW,MUC,Munich,DUB,Dublin,Ireland,1285,12,861,128,Dublin,Munich
International,EDDM,LPPT,MUC,Munich,LIS,Lisbon,Portugal,1229,12,900,140,Lisbon,Munich
International,EDDM,LIPE,MUC,Munich,BLQ,Bologna,Italy,1206,12,937,122,Bologna,Munich
International,EDDM,LFMN,MUC,Munich,NCE,"Nice, Alpes-Maritimes",France,1198,12,981,158,"Nice, Alpes-Maritimes",Munich
International,EDDM,ELLX,MUC,Munich,LUX,Luxembourg,Luxembourg,1179,12,1082,140,Luxembourg,Munich
International,EDDM,ENGM,MUC,Munich,OSL,Oslo (Gardermoen),Norway,1166,12,975,122,Oslo (Gardermoen),Munich
International,EDDM,LSGG,MUC,Munich,GVA,Geneva,Switzerland,1154,12,896,161,Geneva,Munich
International,EDDM,LTFM,MUC,Munich,IST,Istanbul,Türkiye,1137,11,923,168,Istanbul,Munich
International,EDDM,LKPR,MUC,Munich,PRG,Prague,Czechia,1079,12,727,126,Prague,Munich
International,EDDM,LTAI,MUC,Munich,AYT,Antalya,Türkiye,1046,12,581,238,Antalya,Munich
International,EDDM,LROP,MUC,Munich,OTP,Otopeni,Romania,1044,12,750,107,Otopeni,Munich
International,EDDM,EGCC,MUC,Munich,MAN,"Manchester, Greater Manchester",United Kingdom,1027,12,610,109,"Manchester, Greater Manchester",Munich
International,EDDM,LTFJ,MUC,Munich,SAW,"Pendik, Istanbul",Türkiye,998,11,407,134,"Pendik, Istanbul",Munich
